MSSubClass,LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotFrontage_was_missing,MasVnrArea_was_missing,BsmtQual_was_missing,BsmtCond_was_missing,BsmtExposure_was_missing,BsmtFinType1_was_missing,BsmtFinType2_was_missing,Electrical_was_missing,FireplaceQu_was_missing,GarageType_was_missing,GarageYrBlt_was_missing,GarageFinish_was_missing,GarageQual_was_missing,GarageCond_was_missing,TotalBsmtSF_log,1stFlrSF_log,LotArea_log,GrLivArea_log,LotFrontage_log,BsmtUnfSF_log,GarageArea_log,MasVnrArea_nonzero,BsmtFinSF1_nonzero,BsmtFinSF2_nonzero,2ndFlrSF_nonzero,LowQualFinSF_nonzero,BsmtFullBath_nonzero,BsmtHalfBath_nonzero,HalfBath_nonzero,Fireplaces_nonzero,WoodDeckSF_nonzero,OpenPorchSF_nonzero,EnclosedPorch_nonzero,3SsnPorch_nonzero,ScreenPorch_nonzero,PoolArea_nonzero,MiscVal_nonzero,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_RFn,GarageFinish_Unf,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,HouseAge,YearsSinceRemod,Remodeled,TotalArea,HasLotFrontage,LogGrLivArea,LogTotalArea,LogLotArea,QualArea,SalePrice
60,65.0,8450,4,3,7,5,2003,2003,196.0,4,3,4,3,1,6,706.0,1,0.0,150,856,5,5,856,854.0,0.0,1710,1.0,0.0,2,1.0,3,1,4,8,7,0.0,4,2003.0,2,548,3,3,3,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,856.0,6.75343791859778,9.042040056544483,7.444833273892193,65.0,150.0,548.0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,5,0,4824.0,1,7.444833273892193,8.481566013773087,9.042040056544483,11970,208500
20,80.0,9600,4,3,6,8,1976,1976,0.0,3,3,4,3,4,5,978.0,1,0.0,284,1262,5,5,1262,0.0,0.0,1262,0.0,1.0,2,0.0,3,1,3,6,7,1.0,3,1976.0,2,460,3,3,3,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262.0,7.141245122350491,9.169622538697624,7.141245122350491,80.0,284.0,460.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,31,0,4246.0,1,7.141245122350491,8.353968130313271,9.169622538697624,7572,181500
60,68.0,11250,3,3,7,5,2001,2002,162.0,4,3,4,3,2,6,486.0,1,0.0,434,920,5,5,920,866.0,0.0,1786,1.0,0.0,2,1.0,3,1,4,6,7,1.0,3,2001.0,2,608,3,3,3,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.0,6.825460036255307,9.328212292571072,7.488293515159428,68.0,434.0,608.0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,6,1,5100.0,1,7.488293515159428,8.537191877922927,9.328212292571072,12502,223500
70,60.0,9550,3,3,7,5,1915,1970,0.0,3,3,3,4,1,5,216.0,1,0.0,540,756,4,5,961,756.0,0.0,1717,1.0,0.0,1,0.0,3,1,4,7,7,1.0,4,1998.0,3,642,3,3,3,0.0,35.0,272.0,0.0,0.0,0.0,0.0,2,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.0,6.8690144506657065,9.164401140034737,7.4489161025442,60.0,540.0,642.0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91,36,1,4832.0,1,7.4489161025442,8.483222671845084,9.164401140034737,12019,140000
60,84.0,14260,3,3,8,5,2000,2000,350.0,4,3,4,3,3,6,655.0,1,0.0,490,1145,5,5,1145,1053.0,0.0,2198,1.0,0.0,2,1.0,4,1,4,9,7,1.0,3,2000.0,3,836,3,3,3,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145.0,7.044032897274685,9.565283817736766,7.695757990554761,84.0,490.0,836.0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,8,0,6377.0,1,7.695757990554761,8.760609847570002,9.565283817736766,17584,250000
50,85.0,14115,3,3,5,5,1993,1995,0.0,3,3,4,3,1,6,732.0,1,0.0,64,796,5,5,796,566.0,0.0,1362,1.0,0.0,1,1.0,1,1,3,5,7,0.0,4,1993.0,2,480,3,3,3,40.0,30.0,0.0,320.0,0.0,0.0,700.0,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,796.0,6.680854678790215,9.55506418479516,7.217443431696533,85.0,64.0,480.0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,16,14,1,4000.0,1,7.217443431696533,8.294299608857235,9.55506418479516,6810,143000
20,75.0,10084,4,3,8,5,2004,2005,186.0,4,3,5,3,3,6,1369.0,1,0.0,317,1686,5,5,1694,0.0,0.0,1694,1.0,0.0,2,0.0,3,1,4,7,7,1.0,4,2004.0,2,636,3,3,3,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686.0,7.43543801981455,9.218804450388312,7.43543801981455,75.0,317.0,636.0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,5710.0,1,7.43543801981455,8.650149418664864,9.218804450388312,13552,307000
60,80.0,10382,3,3,7,6,1973,1973,240.0,3,3,4,3,2,5,859.0,4,33.980000000000004,216,1107,5,5,1107,983.0,0.0,2090,1.0,0.0,2,1.0,3,1,3,7,7,2.0,3,1973.0,2,484,3,3,3,235.0,204.0,228.0,0.0,0.0,0.0,350.0,11,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1107.0,7.010311867307229,9.247925132303454,7.645397699428633,80.0,216.0,484.0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,36,36,0,5771.0,1,7.645397699428633,8.660773919893762,9.247925132303454,14630,200000
50,51.0,6120,4,3,7,5,1931,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,952,952,4,3,1022,752.0,0.0,1774,0.0,0.0,2,0.0,2,2,3,8,6,2.0,3,1931.0,2,468,2,3,3,90.0,0.0,205.0,0.0,0.0,0.0,0.0,4,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.0,6.930494765951626,8.71948076085107,7.4815557019095165,51.0,952.0,468.0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,77,58,1,4968.0,1,7.4815557019095165,8.51097389160232,8.71948076085107,12418,129900
190,50.0,7420,4,3,5,6,1939,1950,0.0,3,3,3,3,1,6,851.0,1,0.0,140,991,5,5,1077,0.0,0.0,1077,1.0,0.0,1,0.0,2,2,3,5,7,2.0,3,1939.0,1,205,4,3,3,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991.0,6.982862751468942,8.912069097970134,6.982862751468942,50.0,140.0,205.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,69,58,1,3350.0,1,6.982862751468942,8.11701408773731,8.912069097970134,5385,118000
